Star Trek Beyond |Action,Adventure,Sci-Fi |PG-13 |2h 2min |Justin Lin |Chris Pine,Zachary Quinto,Karl Urban |
Star Trek |Action,Adventure,Sci-Fi |PG-13 |2h 7min |J.J. Abrams |Chris Pine,Zachary Quinto,Simon Pegg |
Star Trek Into Darkness |Action,Adventure,Sci-Fi |PG-13 |2h 12min |J.J. Abrams |Chris Pine,Zachary Quinto,Zoe Saldana |
Star Trek: Nemesis |Action,Adventure,Sci-Fi |PG-13 |1h 56min |Stuart Baird |Patrick Stewart,Jonathan Frakes,Brent Spiner |
Star Trek IV: The Voyage Home |Action,Adventure,Comedy |PG |1h 59min |Leonard Nimoy |William Shatner,Leonard Nimoy,DeForest Kelley |
Star Trek: Insurrection |Action,Adventure,Sci-Fi |PG |1h 43min |Jonathan Frakes |Patrick Stewart,Jonathan Frakes,Brent Spiner |
Untitled Star Trek Sequel |Action,Adventure,Mystery | | |Matt Shakman |Zoe Saldana,Chris Pine,Karl Urban |
Star Trek: First Contact |Action,Adventure,Drama |PG-13 |1h 51min |Jonathan Frakes |Patrick Stewart,Jonathan Frakes,Brent Spiner |
Star Trek: Generations |Action,Adventure,Mystery |PG |1h 58min |David Carson |Patrick Stewart,William Shatner,Malcolm McDowell |
Star Trek II: The Wrath of Khan |Action,Adventure,Sci-Fi |PG |1h 53min |Nicholas Meyer |William Shatner,Leonard Nimoy,DeForest Kelley |
Star Trek: The Motion Picture |Adventure,Mystery,Sci-Fi |G |2h 12min |Robert Wise |William Shatner,Leonard Nimoy,DeForest Kelley |
Star Trek III: The Search for Spock |Action,Adventure,Sci-Fi |PG |1h 45min |Leonard Nimoy |William Shatner,Leonard Nimoy,DeForest Kelley |
Star Trek V: The Final Frontier |Action,Adventure,Fantasy |PG |1h 47min |William Shatner |William Shatner,Leonard Nimoy,DeForest Kelley |
Star Trek: Horizon |Action,Adventure,Sci-Fi | |1h 42min |Tommy Kraft |Paul Lang,Marc Bowers,Ryan Webber |
Star Trek: First Frontier |Sci-Fi | |1h 25min |Kenneth Smith |Robert Pralgo,Tara Ochs,Mark Ashworth |
Star Trek VI: The Undiscovered Country |Action,Adventure,Sci-Fi |PG |1h 50min |Nicholas Meyer |William Shatner,Leonard Nimoy,DeForest Kelley |
Star Trek: Captain Pike |Action,Adventure,Sci-Fi | |45min |Todd Shawn |Eric Roberts,Chase Masterson,Ray Wise |
What We Left Behind: Looking Back at Deep Space Nine |Documentary,Sci-Fi | |1h 56min |Ira Steven Behr,David Zappone |Ira Steven Behr,David Zappone |
Star Trek: USS PAN |Action,Adventure,Sci-Fi |None | |Carl Miller |Carl Miller |
Star Trek World Tour |None | | |Winrich Kolbe |Winrich Kolbe |
Star Trek III: Redemption |Animation,Sci-Fi | |4h 12min |Brandon M. Bridges |Brandon M. Bridges |
Beartrek |Documentary,Adventure | |1h 26min |Chris Morgan,Joe Pontecorvo |Robyn Appleton,Nick Lunn,Chris Morgan |
Star Trek II: Retribution |Animation,Sci-Fi | |3h 17min |Brandon M. Bridges |Brandon M. Bridges |
Better Start Running |Action,Comedy | |1h 32min |Brett Simon |Alex Sharp,Lio Tipton,Mary Elizabeth Runyon |
Untitled Quentin Tarantino Star Trek Project |Action,Adventure,Sci-Fi |None | |Gene Roddenberry,Mark L. Smith |None |
Star Trek: Enterprise - In a Time of War |Documentary | |1h 30min |Roger Lay Jr. |Scott Bakula,Rick Berman,John Billingsley |
El barón contra los Demonios |Action,Adventure,Fantasy | |1h 36min |Ricardo Ribelles |Juan Carlos Romeu,Helena Lecumberri,Alejandro Ribelles |
Star Trek: Dark Horizon |Sci-Fi | |1h 29min |Tom Jones |Max Logan,Tom Jones,Clara Bardeen |
Star Trip |Comedy | |1h 51min |Chrome Cobra |Celeste Thorson,Richie Chance,Karen Nieci |
Star Trek: The Final Darkness |Sci-Fi | |1h 25min |George Kayaian |Michael J. Arbouet,Helen Kayaian,Keith Dallas |
The Lone Star Trail |Action,Music,Western |Passed |58min |Ray Taylor |Johnny Mack Brown,Tex Ritter,Fuzzy Knight |
Star Trash |Documentary | | |Tom Wassner |Reed Schmidt,Tom Wassner |
Star Trek Enterprise II: Der Anfang vom Ende |Animation,Sci-Fi | |58min |Jürgen Kaiser |Lars von Velsen,René Dawn-Claude,Sabrina Heuer-Diakow |
Star Trek: The Infinite Chain |Sci-Fi | |1h 48min |George Kayaian |Helen Kayaian,Roland Marton,Joseph Marenus |
Star Trek I: Specter of the Past |Animation,Sci-Fi | |3h 9min |Brandon M. Bridges |Brandon M. Bridges,Dennis Gard Robb,Scott Fack |
Star Trek: Temporal Anomaly |Action,Adventure,Sci-Fi | |1h |Samuel Cockings |Marcus Churchill,Kilian McIntosh,Chris Burdett |
Star Trek: Operation Beta Shield |Action,Fantasy,Sci-Fi | |1h 7min |Jennifer Cole |Risha Denney,Nick Cook,Karl Puder |
Star Trek: The Paradise Makers |Animation,Adventure,Sci-Fi | |2h 13min |Gaston Huckabay |Glen Averoigne,Robin Bernier,Wes Chambers |
Mr. Plinketts Star Trek 2009 Review |Comedy | |1h 7min |Mike Stoklasa |Mike Stoklasa |
To the Journey: Looking Back at Star Trek: Voyager |Documentary,Sci-Fi |None | |David Zappone |David Zappone |
Star Trek: Inside the Roddenberry Vault |Documentary | |3h |Roger Lay Jr. |Stanley Adams,Mark A. Altman,Richard Arnold |
Star Trek: The Journey to the Silver Screen |Documentary | |2h 26min |Roger Lay Jr. |Mark A. Altman,Richard Arnold,Thomas Barron |
12 Minds,A Star Trek Fan Film |Drama,Sci-Fi | |1h 17min |Jan Kratky |Miro Miksik,Vladimir Novotny,Radek Belina |
Star Trek: Incident at Beta 9 |Sci-Fi | |57min |George Kayaian |Michael J. Arbouet,Keith Dallas,Jody Hessel |
Star Trek: Enterprise - Uncharted Territory |Documentary | |1h 30min |Roger Lay Jr. |Scott Bakula,Rick Berman,John Billingsley |
Reset - Restart |Documentary | | |Judith Lichtneckert |None |
Hare Krishna! The Mantra,the Movement and the Swami Who Started It All |Documentary | |1h 30min |John Griesser,Nitin G.,Jean Griesser |A.C. Bhaktivedanta Swami,Bhaktisiddhanta Saraswati,George Harrison |
Star Trek: Enterprise - In Conversation - The First Crew |Documentary | |1h 30min |Roger Lay Jr. |Nina Xining Zuo,Scott Bakula,John Billingsley |
Star Trek: The Next Generation - Inside the Writers Room |Documentary | |1h 11min |Roger Lay Jr. |Brannon Braga,René Echevarria,Seth MacFarlane |
